method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FDFL-0.1,0.0,11,linear,2.0,mad,50,0.1831549721325955,72.98972672766811,312.596824529666
FDFL-0.1,1.0,11,linear,2.0,mad,50,0.1344197244786848,35.252377613155964,189.91617556390787
FDFL-0.1,0.0,22,linear,2.0,mad,50,0.1772606714221861,91.47321669934789,309.66742630134627
FDFL-0.1,1.0,22,linear,2.0,mad,50,0.1298392051722202,31.94887092094717,184.81843495713528
FDFL-0.1,0.0,33,linear,2.0,mad,50,0.1639857749263878,74.89238861575792,306.2346555649329
FDFL-0.1,1.0,33,linear,2.0,mad,50,0.130409165791297,33.57101942067508,199.7310162150384
FDFL-0.1,0.0,44,linear,2.0,mad,50,0.1646850618087439,78.78761188360681,294.60131160520643
FDFL-0.1,1.0,44,linear,2.0,mad,50,0.1306566241541157,35.420909068119364,193.6673469375664
FDFL-0.1,0.0,55,linear,2.0,mad,50,0.1664665043102088,92.8741294817426,299.4739582002118
FDFL-0.1,1.0,55,linear,2.0,mad,50,0.1314956488636937,43.644014843578255,196.7322157759287
FDFL-0.5,0.0,11,linear,2.0,mad,50,0.1338616659099038,33.410846007490754,168.97232898791646
FDFL-0.5,1.0,11,linear,2.0,mad,50,0.1344382760295101,33.553785103655805,170.31602464176012
FDFL-0.5,0.0,22,linear,2.0,mad,50,0.1287701193771158,44.70967686660435,202.02419788367808
FDFL-0.5,1.0,22,linear,2.0,mad,50,0.1297264553991044,32.41852280541234,182.35710523303624
FDFL-0.5,0.0,33,linear,2.0,mad,50,0.1298387146343375,37.48713433662667,189.85479920477687
FDFL-0.5,1.0,33,linear,2.0,mad,50,0.1302711067718762,31.293763476547888,180.12876528545297
FDFL-0.5,0.0,44,linear,2.0,mad,50,0.1295267525942767,43.87057985370439,199.592130415456
FDFL-0.5,1.0,44,linear,2.0,mad,50,0.1305547118807486,33.758501978959266,181.9995222918125
FDFL-0.5,0.0,55,linear,2.0,mad,50,0.1299761289159858,48.81621261781338,198.1785324673748
FDFL-0.5,1.0,55,linear,2.0,mad,50,0.131158042653868,40.67455670456533,181.1179709643499
FDFL-Scal,0.0,11,linear,2.0,mad,50,0.1343022981121082,33.53148315143181,165.25244167704838
FDFL-Scal,1.0,11,linear,2.0,mad,50,0.134833243547494,34.149319669198654,175.2914211649289
FDFL-Scal,0.0,22,linear,2.0,mad,50,0.1299066713869504,35.315726715156465,169.36296990759195
FDFL-Scal,1.0,22,linear,2.0,mad,50,0.1300132293067313,32.41512690593512,176.93657433051985
FDFL-Scal,0.0,33,linear,2.0,mad,50,0.1302293731687552,34.21056257526519,174.93721082319416
FDFL-Scal,1.0,33,linear,2.0,mad,50,0.1302379901554494,32.07920449842416,181.61977390417624
FDFL-Scal,0.0,44,linear,2.0,mad,50,0.130744968385014,34.971330529803744,167.33291477797778
FDFL-Scal,1.0,44,linear,2.0,mad,50,0.1309858749793216,32.922797663063776,174.39689270885302
FDFL-Scal,0.0,55,linear,2.0,mad,50,0.130745204706945,40.37561919042236,167.36968588476662
