method,lambda,seed,cap,alpha,imbalance,n_groups,test_regret_normalized,test_fairness,test_pred_mse
FDFL-0.1,0.0,11,linear,2.0,0.0,2.0,0.2928734885990016,0.2385654998383651,3.1692837033663253
FDFL-0.1,1.0,11,linear,2.0,0.0,2.0,0.2928625485941064,0.2383785891032387,3.1658100956384305
FDFL-0.1,0.0,22,linear,2.0,0.0,2.0,0.1714386064867615,0.0607724679534894,0.5764524263105155
FDFL-0.1,1.0,22,linear,2.0,0.0,2.0,0.1714328358042681,0.0606964169411408,0.5755342078711114
FDFL-0.1,0.0,33,linear,2.0,0.0,2.0,0.2838642149733877,0.102564309590226,1.2582067953618723
FDFL-0.1,1.0,33,linear,2.0,0.0,2.0,0.2838595040694835,0.1024191743166924,1.2564095825802812
FDFL-0.1,0.0,44,linear,2.0,0.0,2.0,0.1699145189181306,0.2770007462976664,2.6971076376491125
FDFL-0.1,1.0,44,linear,2.0,0.0,2.0,0.1699089101852059,0.276602420174665,2.690172980623257
FDFL-0.1,0.0,55,linear,2.0,0.0,2.0,0.2144761984872167,0.2349143576701809,2.9924637139110364
FDFL-0.1,1.0,55,linear,2.0,0.0,2.0,0.2144916367999757,0.233987634427839,2.9760909729426053
FDFL-0.5,0.0,11,linear,2.0,0.0,2.0,0.2929724325820502,0.2377729482145129,3.150488268420074
FDFL-0.5,1.0,11,linear,2.0,0.0,2.0,0.2929642031982672,0.2375842790589434,3.1469521192334096
FDFL-0.5,0.0,22,linear,2.0,0.0,2.0,0.1714452558016347,0.0604386542689301,0.572428986255461
FDFL-0.5,1.0,22,linear,2.0,0.0,2.0,0.1714376371179402,0.0603628739750246,0.5715194192506778
FDFL-0.5,0.0,33,linear,2.0,0.0,2.0,0.2837431424268313,0.1020571790347896,1.2507635435553128
FDFL-0.5,1.0,33,linear,2.0,0.0,2.0,0.2837301674055667,0.1019130418821677,1.2489926714539217
FDFL-0.5,0.0,44,linear,2.0,0.0,2.0,0.1702285352835754,0.2733107354791295,2.6348125668184266
FDFL-0.5,1.0,44,linear,2.0,0.0,2.0,0.1700713866570337,0.2728969717193455,2.627971976343324
FDFL-0.5,0.0,55,linear,2.0,0.0,2.0,0.2144646958822815,0.2296688850501899,2.8851178154823014
FDFL-0.5,1.0,55,linear,2.0,0.0,2.0,0.2144637352257286,0.228714816059549,2.868918047551972
FDFL-Scal,0.0,11,linear,2.0,0.0,2.0,0.2940819078056554,0.236776449337886,3.126622319689796
FDFL-Scal,1.0,11,linear,2.0,0.0,2.0,0.2939739887260313,0.2365846620442766,3.1230074368835523
FDFL-Scal,0.0,22,linear,2.0,0.0,2.0,0.1714482849728767,0.0600234042913621,0.5674547343472536
FDFL-Scal,1.0,22,linear,2.0,0.0,2.0,0.1714401846972481,0.0599484107186857,0.5665574170404662
FDFL-Scal,0.0,33,linear,2.0,0.0,2.0,0.2838717022015219,0.1014321299485193,1.2416472470950235
FDFL-Scal,1.0,33,linear,2.0,0.0,2.0,0.2838858478856628,0.1012897666900691,1.2399096799280132
FDFL-Scal,0.0,44,linear,2.0,0.0,2.0,0.169783817415089,0.2689300491179339,2.5573111110968667
FDFL-Scal,1.0,44,linear,2.0,0.0,2.0,0.1696484591368715,0.2685118573023547,2.550601604889716
FDFL-Scal,0.0,55,linear,2.0,0.0,2.0,0.2143936819615348,0.2230239532106193,2.754016942603557
FDFL-Scal,1.0,55,linear,2.0,0.0,2.0,0.2144027444492072,0.2220782348360914,2.7387141239642063
FDFL,0.0,11,linear,2.0,0.0,2.0,0.2928276457892343,0.2387632263468209,3.173939564380944
FDFL,1.0,11,linear,2.0,0.0,2.0,0.2928097908380124,0.2385765746188052,3.170481753354908
FDFL,0.0,22,linear,2.0,0.0,2.0,0.1714366203467686,0.060856025687854,0.5774636825875322
FDFL,1.0,22,linear,2.0,0.0,2.0,0.1714309741807347,0.0607799385721509,0.5765434519855032
